Gene ID	Product Description	Gene Type	Input ID	# TM Domains	EC numbers	EC numbers from OrthoMCL	
Tb927.2.4550	2'-O-ribose RNA methyltransferase SPB1 homolog	protein coding gene	Tb927.2.4550	0	2.1.1.- (Methyltransferases.)	2.1.1.- (Methyltransferases.);2.1.1.166 (23S rRNA (uridine(2552)-2'-O)-methyltransferase)	
Tb927.2.4560	Rab-GTPase-TBC domain containing protein, putative	protein coding gene	Tb927.2.4560	0	N/A	N/A	
Tb927.2.4580	UNC119	protein coding gene	Tb927.2.4580	0	N/A	N/A	
Tb927.2.4590	branched-chain amino acid aminotransferase, putative	protein coding gene	Tb927.2.4590	0	2.6.1.42 (Branched-chain-amino-acid transaminase)	2.6.1.42 (Branched-chain-amino-acid transaminase);2.6.1.88 (Methionine transaminase)	
Tb927.2.460	DNA-directed RNA polymerase, pseudogene, putative	pseudogene	Tb927.2.460	0	N/A	N/A	
Tb927.2.4610	branched-chain amino acid aminotransferase, putative	protein coding gene	Tb927.2.4610	0	2.6.1.42 (Branched-chain-amino-acid transaminase)	2.6.1.42 (Branched-chain-amino-acid transaminase);2.6.1.88 (Methionine transaminase)	
Tb927.2.4620	Transmembrane adaptor Erv26, putative	protein coding gene	Tb927.2.4620	4	N/A	5.2.1.8 (Peptidylprolyl isomerase)	
Tb927.2.4650	hypothetical protein, conserved	protein coding gene	Tb927.2.4650	0	N/A	N/A	
Tb927.2.4670	hypothetical protein, conserved	protein coding gene	Tb927.2.4670	4	N/A	N/A	
Tb927.2.4680	hypothetical protein, conserved	protein coding gene	Tb927.2.4680	0	N/A	N/A	
Tb927.2.470	retrotransposon hot spot protein 4 (RHS4), putative	protein coding gene	Tb927.2.470	0	N/A	N/A	
Tb927.2.4700	succinate dehydrogenase subunit	protein coding gene	Tb927.2.4700	2	N/A	N/A	
Tb927.2.4710	RNA-binding protein, putative	protein coding gene	Tb927.2.4710	0	N/A	N/A	
Tb927.2.4720	dolichyl-P-Man:GDP-Man7GlcNAc2-PP-dolichyl alpha-1,6-mannosyltransferase, putative	protein coding gene	Tb927.2.4720	7	2.4.1.- (Hexosyltransferases.);2.4.1.260 (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase)	2.4.1.232 (Initiation-specific alpha-1,6-mannosyltransferase);2.4.1.260 (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase)	
Tb927.2.4740	mitochondrial ribosomal protein l11	protein coding gene	Tb927.2.4740	0	N/A	N/A	
Tb927.2.4750	hypothetical protein, conserved	protein coding gene	Tb927.2.4750	1	N/A	N/A	
Tb927.2.4760	hypothetical protein, conserved	protein coding gene	Tb927.2.4760	2	N/A	N/A	
Tb927.2.4780	hypothetical protein, conserved	protein coding gene	Tb927.2.4780	0	N/A	N/A	
Tb927.2.480	retrotransposon hot spot protein 2 (RHS2), degenerate	pseudogene	Tb927.2.480	0	N/A	N/A	
Tb927.2.4800	hypothetical protein, conserved	protein coding gene	Tb927.2.4800	0	N/A	N/A	
Tb927.2.4810	Component of motile flagella 5	protein coding gene	Tb927.2.4810	0	N/A	N/A	
Tb927.2.4830	TFIIF-stimulated CTD phosphatase, putative	protein coding gene	Tb927.2.4830	1	N/A	3.1.3.- (Phosphoric monoester hydrolases.)	
Tb927.2.4840	Vitamin K epoxide reductase family, putative	protein coding gene	Tb927.2.4840	3	N/A	1.17.4.4 (Vitamin-K-epoxide reductase (warfarin-sensitive))	
Tb927.2.4850	Phosducin, putative	protein coding gene	Tb927.2.4850	0	N/A	N/A	
Tb927.2.4870	kinetoplastid-specific dual specificity phosphatase, putative	protein coding gene	Tb927.2.4870	0	N/A	3.1.3.16 (Protein-serine/threonine phosphatase)	
Tb927.2.4890	mitochondrial ribosomal protein l11	protein coding gene	Tb927.2.4890	0	N/A	N/A	
Tb927.2.490	DNA-directed RNA polymerase, pseudogene, putative	pseudogene	Tb927.2.490	0	N/A	N/A	
Tb927.2.4900	hypothetical protein, conserved	protein coding gene	Tb927.2.4900	1	N/A	N/A	
Tb927.2.4920	hypothetical protein, conserved	protein coding gene	Tb927.2.4920	2	N/A	N/A	
Tb927.2.4930	esterase, putative	protein coding gene	Tb927.2.4930	0	3.1.1.1 (Carboxylesterase)	3.1.-.- (Acting on ester bonds.);3.1.1.- (Carboxylic ester hydrolases.);3.1.1.1 (Carboxylesterase)	
Tb927.2.4950	hypothetical protein, conserved	protein coding gene	Tb927.2.4950	0	N/A	N/A	
Tb927.2.4970	UV radiation resistance protein and autophagy-related subunit 14, putative	protein coding gene	Tb927.2.4970	0	N/A	N/A	
Tb927.2.4980	EMG1/NEP1 methyltransferase, putative	protein coding gene	Tb927.2.4980	0	N/A	2.1.1.- (Methyltransferases.)	
Tb927.2.4990	hypothetical protein, conserved	protein coding gene	Tb927.2.4990	0	N/A	N/A	
Tb927.2.5000	hypothetical protein, conserved	protein coding gene	Tb927.2.5000	0	N/A	N/A	
Tb927.2.5010	Meiotic cell cortex C-terminal pleckstrin homology, putative	protein coding gene	Tb927.2.5010	0	N/A	N/A	
Tb927.2.5020	acyl-CoA oxidase, putative	protein coding gene	Tb927.2.5020	0	N/A	1.3.3.6 (Acyl-CoA oxidase)	
Tb927.2.5030	transcription elongation factor SPT5, putative	protein coding gene	Tb927.2.5030	0	N/A	3.4.21.10 (Acrosin)	
Tb927.2.5040	MORN repeat, putative	protein coding gene	Tb927.2.5040	0	N/A	N/A	
Tb927.2.5050	protein phosphatase 2C, putative	protein coding gene	Tb927.2.5050	0	3.1.3.16 (Protein-serine/threonine phosphatase)	3.1.3.16 (Protein-serine/threonine phosphatase);3.1.3.41 (4-nitrophenylphosphatase);6.5.1.8 (3'-phosphate/5'-hydroxy nucleic acid ligase)	
Tb927.2.5060	GTP binding protein, putative	protein coding gene	Tb927.2.5060	0	N/A	3.6.5.- (Acting on GTP; involved in cellular and subcellular movement.);6.1.1.3 (Threonine--tRNA ligase)	
Tb927.2.5070	hypothetical protein, conserved	protein coding gene	Tb927.2.5070	0	N/A	N/A	
Tb927.2.5080	hypothetical protein, conserved	protein coding gene	Tb927.2.5080	0	N/A	N/A	
Tb927.2.510	retrotransposon hot spot protein 4 (RHS4), putative	protein coding gene	Tb927.2.510	0	N/A	N/A	
Tb927.2.5120	Vesicle-associated membrane protein 7	protein coding gene	Tb927.2.5120	1	N/A	N/A	
Tb927.2.5130	hypothetical protein, conserved	protein coding gene	Tb927.2.5130	0	N/A	N/A	
Tb927.2.5140	hypothetical protein, conserved	protein coding gene	Tb927.2.5140	1	N/A	N/A	
Tb927.2.5150	TPR-repeat protein, putative	protein coding gene	Tb927.2.5150	0	N/A	N/A	
Tb927.2.5160	Chaperone protein DnaJ 2	protein coding gene	Tb927.2.5160	0	N/A	N/A	
Tb927.2.5180	aldo-keto reductase, putative	protein coding gene	Tb927.2.5180	0	1.1.1.185 (L-glycol dehydrogenase)	1.1.1.1 (Alcohol dehydrogenase);1.1.1.112 (Indanol dehydrogenase);1.1.1.116 (D-arabinose 1-dehydrogenase (NAD(+)));1.1.1.149 (20-alpha-hydroxysteroid dehydrogenase);1.1.1.175 (D-xylose 1-dehydrogenase);1.1.1.184 (Carbonyl reductase (NADPH));1.1.1.185 (L-glycol dehydrogenase);1.1.1.189 (Prostaglandin	
Tb927.2.5190	Homologous-pairing protein 2 homolog	protein coding gene	Tb927.2.5190	0	N/A	N/A	
Tb927.2.5200	hypothetical protein, conserved	protein coding gene	Tb927.2.5200	0	N/A	N/A	
Tb927.2.5210	beta-ketoacyl-ACP reductase	protein coding gene	Tb927.2.5210	0	1.1.1.100 (3-oxoacyl-[acyl-carrier-protein] reductase)	1.1.1.- (With NAD(+) or NADP(+) as acceptor.);1.1.1.100 (3-oxoacyl-[acyl-carrier-protein] reductase);1.1.1.138 (Mannitol 2-dehydrogenase (NADP(+)));1.1.1.69 (Gluconate 5-dehydrogenase)	
Tb927.2.5220	hypothetical protein, conserved	protein coding gene	Tb927.2.5220	0	N/A	N/A	
Tb927.2.5230	CAMK family pseudokinase, putative	protein coding gene	Tb927.2.5230	0	N/A	N/A	
Tb927.2.5240	pre-mRNA splicing factor 19	protein coding gene	Tb927.2.5240	0	2.3.2.27 (RING-type E3 ubiquitin transferase)	2.3.2.27 (RING-type E3 ubiquitin transferase);6.3.2.19 (Transferred entry: 2.3.2.23, 2.3.2.27 and 6.2.1.45)	
Tb927.2.5250	tubulin-tyrosine ligase, putative	protein coding gene	Tb927.2.5250	0	N/A	6.3.2.25 (Tubulin--tyrosine ligase)	
Tb927.2.5260	hypothetical protein, conserved	protein coding gene	Tb927.2.5260	0	N/A	N/A	
Tb927.2.5270	dynein heavy chain, putative	protein coding gene	Tb927.2.5270	0	N/A	1.4.1.2 (Glutamate dehydrogenase);2.7.-.- (Transferring phosphorus-containing groups.);2.7.4.6 (Nucleoside-diphosphate kinase);2.7.7.- (Nucleotidyltransferases.);2.7.7.8 (Polyribonucleotide nucleotidyltransferase);2.7.8.1 (Ethanolaminephosphotransferase);3.2.1.2 (Beta-amylase);3.4.24.- (Metalloendop	
Tb927.2.5280	Enriched in surface-labeled proteome protein 1	protein coding gene	Tb927.2.5280	0	N/A	3.2.1.18 (Exo-alpha-sialidase)	
Tb927.2.5290	hypothetical protein, conserved	protein coding gene	Tb927.2.5290	2	N/A	N/A	
Tb927.2.5300	hypothetical protein, conserved	protein coding gene	Tb927.2.5300	2	N/A	N/A	
Tb927.2.5310	hypothetical protein, conserved	protein coding gene	Tb927.2.5310	2	N/A	N/A	
Tb927.2.5320	hypothetical protein, conserved	protein coding gene	Tb927.2.5320	2	N/A	N/A	
Tb927.2.5330	hypothetical protein, conserved	protein coding gene	Tb927.2.5330	2	N/A	N/A	
Tb927.2.5340	hypothetical protein, conserved	protein coding gene	Tb927.2.5340	2	N/A	N/A	
Tb927.2.5350	hypothetical protein, conserved	protein coding gene	Tb927.2.5350	2	N/A	N/A	
Tb927.2.5360	hypothetical protein, conserved	protein coding gene	Tb927.2.5360	2	N/A	N/A	
Tb927.2.5384	retrotransposon hot spot protein (RHS, pseudogene), putative	pseudogene	Tb927.2.5384	0	N/A	N/A	
Tb927.2.540	DNA-directed RNA polymerase, pseudogene, putative	pseudogene	Tb927.2.540	0	N/A	N/A	
Tb927.2.5410	ABC transporter family-like protein	protein coding gene	Tb927.2.5410	1	N/A	N/A	
Tb927.2.5440	hypothetical protein, conserved	protein coding gene	Tb927.2.5440	0	N/A	N/A	
Tb927.2.5480	hypothetical protein, conserved	protein coding gene	Tb927.2.5480	0	N/A	N/A	
Tb927.2.5500	hypothetical protein, conserved	protein coding gene	Tb927.2.5500	0	N/A	N/A	
Tb927.2.5530	Present in the outer mitochondrial membrane proteome 22-1	protein coding gene	Tb927.2.5530	0	N/A	N/A	
Tb927.2.5540	hypothetical protein, conserved	protein coding gene	Tb927.2.5540	0	N/A	N/A	
Tb927.2.560	retrotransposon hot spot protein 4 (RHS4), putative	protein coding gene	Tb927.2.560	0	N/A	N/A	
Tb927.2.5600	hypothetical protein, conserved	protein coding gene	Tb927.2.5600	0	N/A	N/A	
Tb927.2.5610	Present in the outer mitochondrial membrane proteome 22B	protein coding gene	Tb927.2.5610	0	N/A	N/A	
Tb927.2.5630	hypothetical protein, conserved	protein coding gene	Tb927.2.5630	0	N/A	N/A	
Tb927.2.5650	hypothetical protein, conserved	protein coding gene	Tb927.2.5650	0	N/A	N/A	
Tb927.2.5660	adenylate kinase, putative	protein coding gene	Tb927.2.5660	0	2.7.4.3 (Adenylate kinase)	2.7.4.3 (Adenylate kinase)	
Tb927.2.5680	U2 small nuclear RNA	ncRNA gene	Tb927.2.5680	N/A	N/A	N/A	
Tb927.2.5710	hypothetical protein	protein coding gene	Tb927.2.5710	0	N/A	N/A	
Tb927.2.5720	hypothetical protein	protein coding gene	Tb927.2.5720	0	N/A	N/A	
Tb927.2.5750	tyrosyl-DNA Phosphodiesterase (Tdp1), putative	protein coding gene	Tb927.2.5750	0	N/A	3.1.4.- (Phosphoric diester hydrolases.);3.2.1.45 (Glucosylceramidase)	
Tb927.2.5760	Flagellar Member 8	protein coding gene	Tb927.2.5760	0	N/A	N/A	
Tb927.2.5800	sedoheptulose-1,7-bisphosphatase	protein coding gene	Tb927.2.5800	0	3.1.3.11 (Fructose-bisphosphatase);3.1.3.37 (Sedoheptulose-bisphosphatase)	3.1.3.- (Phosphoric monoester hydrolases.);3.1.3.11 (Fructose-bisphosphatase);3.1.3.37 (Sedoheptulose-bisphosphatase)	
Tb927.2.5810	Holliday-junction resolvase-like of SPT6/SH2 domain containing protein, putative	protein coding gene	Tb927.2.5810	0	N/A	N/A	
Tb927.2.5820	hypothetical protein, conserved	protein coding gene	Tb927.2.5820	0	N/A	N/A	
Tb927.2.5830	hypothetical protein, conserved	protein coding gene	Tb927.2.5830	0	N/A	N/A	
Tb927.2.5850	small nuclear ribonucleoprotein SmD2	protein coding gene	Tb927.2.5850	0	N/A	N/A	
Tb927.2.5860	hypothetical protein, conserved	protein coding gene	Tb927.2.5860	0	N/A	N/A	
Tb927.2.5870	hypothetical protein, conserved	protein coding gene	Tb927.2.5870	0	N/A	N/A	
Tb927.2.5890	hypothetical protein, conserved	protein coding gene	Tb927.2.5890	0	N/A	N/A	
Tb927.2.5900	hypothetical protein, conserved	protein coding gene	Tb927.2.5900	0	N/A	N/A	
Tb927.2.5910	40S ribosomal protein S13, putative	protein coding gene	Tb927.2.5910	0	N/A	N/A	
Tb927.2.5930	hypothetical protein, conserved	protein coding gene	Tb927.2.5930	0	N/A	N/A	
Tb927.2.5950	hypothetical protein, conserved	protein coding gene	Tb927.2.5950	0	N/A	N/A	
Tb927.2.5970	hypothetical protein, conserved	protein coding gene	Tb927.2.5970	1	N/A	N/A	
Tb927.2.5980	chaperone protein ClpB1, putative	protein coding gene	Tb927.2.5980	0	N/A	3.4.21.53 (Endopeptidase La);3.4.21.92 (Endopeptidase Clp);3.6.1.3 (Deleted entry);5.1.3.15 (Glucose-6-phosphate 1-epimerase)	
Tb927.2.6000	glycosylphosphatidylinositol-specific phospholipase C	protein coding gene	Tb927.2.6000	0	4.6.1.14 (Glycosylphosphatidylinositol diacylglycerol-lyase)	4.6.1.14 (Glycosylphosphatidylinositol diacylglycerol-lyase)	
Tb927.2.6050	beta prime COP protein	protein coding gene	Tb927.2.6050	0	N/A	2.3.1.48 (Histone acetyltransferase)	
Tb927.2.6070	mitochondrial RNA binding complex 1 subunit	protein coding gene	Tb927.2.6070	0	N/A	N/A	
Tb927.2.6080	hypothetical protein, conserved	protein coding gene	Tb927.2.6080	0	N/A	N/A	
Tb927.2.6090	60S ribosomal protein L44	protein coding gene	Tb927.2.6090	0	N/A	N/A	
Tb927.2.6100	hypothetical protein, conserved	protein coding gene	Tb927.2.6100	0	N/A	N/A	
Tb927.2.6130	ABC transporter, putative	protein coding gene	Tb927.2.6130	1	N/A	N/A	
Tb927.2.6150	adenosine transporter 2	protein coding gene	Tb927.2.6150	11	N/A	2.3.1.48 (Histone acetyltransferase)	
Tb927.2.6180	iron/ascorbate oxidoreductase family protein, putative	protein coding gene	Tb927.2.6180	0	N/A	1.13.12.19 (2-oxuglutarate dioxygenase (ethene-forming));1.14.11.- (With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.);1.14.11.11 (Hyoscyamine (6S)-dioxygenase);1.14.11.23 (Transferred entry: 1.14.20.6);1.14.11.6 (Thymine dioxygenase);1.14.11.9 (Flavano	
Tb927.2.6200	adenosine transporter 2, putative	protein coding gene	Tb927.2.6200	11	N/A	2.3.1.48 (Histone acetyltransferase)	
Tb927.2.6210	iron/ascorbate oxidoreductase family protein, putative	protein coding gene	Tb927.2.6210	0	N/A	1.13.12.19 (2-oxuglutarate dioxygenase (ethene-forming));1.14.11.- (With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.);1.14.11.11 (Hyoscyamine (6S)-dioxygenase);1.14.11.23 (Transferred entry: 1.14.20.6);1.14.11.6 (Thymine dioxygenase);1.14.11.9 (Flavano	
Tb927.2.6220	adenosine transporter 2, putative	protein coding gene	Tb927.2.6220	10	N/A	N/A	
Tb927.2.6230	iron/ascorbate oxidoreductase family protein, putative	protein coding gene	Tb927.2.6230	0	N/A	1.13.12.19 (2-oxuglutarate dioxygenase (ethene-forming));1.14.11.- (With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.);1.14.11.11 (Hyoscyamine (6S)-dioxygenase);1.14.11.23 (Transferred entry: 1.14.20.6);1.14.11.6 (Thymine dioxygenase);1.14.11.9 (Flavano	
Tb927.2.6240	adenosine transporter 2	protein coding gene	Tb927.2.6240	11	N/A	N/A	
Tb927.2.6270	iron/ascorbate oxidoreductase family protein, putative	protein coding gene	Tb927.2.6270	0	N/A	1.13.12.19 (2-oxuglutarate dioxygenase (ethene-forming));1.14.11.- (With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.);1.14.11.11 (Hyoscyamine (6S)-dioxygenase);1.14.11.23 (Transferred entry: 1.14.20.6);1.14.11.6 (Thymine dioxygenase);1.14.11.9 (Flavano	
Tb927.2.6280	adenosine transporter 2, putative	protein coding gene	Tb927.2.6280	11	N/A	N/A	
Tb927.2.6310	iron/ascorbate oxidoreductase family protein, putative	protein coding gene	Tb927.2.6310	0	N/A	1.13.12.19 (2-oxuglutarate dioxygenase (ethene-forming));1.14.11.- (With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.);1.14.11.11 (Hyoscyamine (6S)-dioxygenase);1.14.11.23 (Transferred entry: 1.14.20.6);1.14.11.6 (Thymine dioxygenase);1.14.11.9 (Flavano	
Tb927.2.6320	adenosine transporter 2, putative	protein coding gene	Tb927.2.6320	11	N/A	2.3.1.48 (Histone acetyltransferase)	
Tb927.2.6350	variant surface glycoprotein, point mutation	pseudogene	Tb927.2.6350	0	N/A	N/A	
Tb927.2.6372	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb927.2.6372	0	N/A	N/A	
Tb927.2.6375	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb927.2.6375	0	N/A	N/A	
Tb927.2.6380	variant surface glycoprotein, frameshift	pseudogene	Tb927.2.6380	0	N/A	N/A	
Tb927.2.6390	variant surface glycoprotein, degenerate	pseudogene	Tb927.2.6390	0	N/A	N/A	
Tb927.2.6400	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb927.2.6400	0	N/A	N/A	
Tb927.2.6404	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	pseudogene	Tb927.2.6404	0	N/A	N/A	
Tb927.2.6410	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb927.2.6410	0	N/A	N/A	
Tb927.2.6430	variant surface glycoprotein, frameshift	pseudogene	Tb927.2.6430	0	N/A	N/A	
Tb927.2.6435	variant surface glycoprotein, degenerate	pseudogene	Tb927.2.6435	0	N/A	N/A	
Tb927.2.650	hypothetical protein	protein coding gene	Tb927.2.650	0	N/A	N/A	
Tb927.2.660	expression site-associated gene 4 (ESAG4), degenerate	pseudogene	Tb927.2.660	0	N/A	N/A	
Tb927.2.680	Protein of unknown function (DUF1181), putative	protein coding gene	Tb927.2.680	1	N/A	N/A	
Tb927.2.690	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.2.690	0	N/A	N/A	
Tb927.2.720	retrotransposon hot spot protein 5 (RHS5), degenerate	pseudogene	Tb927.2.720	0	N/A	N/A	
Tb927.2.820	retrotransposon hot spot protein 1 (RHS1), interrupted	pseudogene	Tb927.2.820	0	N/A	N/A	
Tb927.2.830	retrotransposon hot spot protein 1 (RHS1), interrupted	pseudogene	Tb927.2.830	0	N/A	N/A	
Tb927.2.900	hypothetical protein	protein coding gene	Tb927.2.900	0	N/A	N/A	
Tb927.2.910	expression site-associated gene 4 (ESAG4), degenerate	pseudogene	Tb927.2.910	0	N/A	N/A	
Tb927.2.940	Protein of unknown function (DUF1181), putative	protein coding gene	Tb927.2.940	0	N/A	N/A	
Tb927.2.950	paraflagellar rod component, putative	protein coding gene	Tb927.2.950	0	N/A	N/A	
Tb927.2.960	hypothetical protein	protein coding gene	Tb927.2.960	1	N/A	N/A	
Tb927.2.980	retrotransposon hot spot protein 5 (RHS5), degenerate	pseudogene	Tb927.2.980	0	N/A	N/A	
Tb927.3.100	hypothetical protein, pseudogene	pseudogene	Tb927.3.100	0	N/A	N/A	
Tb927.3.1000	frataxin-like, mitochondrial precursor, putative	protein coding gene	Tb927.3.1000	0	1.16.3.1 (Ferroxidase)	1.16.3.1 (Ferroxidase)	
Tb927.3.1010	hypothetical protein, conserved	protein coding gene	Tb927.3.1010	0	N/A	N/A	
Tb927.3.1020	Flagellum attachment zone protein 13	protein coding gene	Tb927.3.1020	0	N/A	N/A	
Tb927.3.1030	RNA-binding protein	protein coding gene	Tb927.3.1030	0	N/A	N/A	
Tb927.3.1050	transposase of Tn10	protein coding gene	Tb927.3.1050	0	N/A	N/A	
Tb927.3.1060	cAMP Response Protein 4	protein coding gene	Tb927.3.1040, Tb927.3.1060	0	N/A	N/A	
Tb927.3.1070	Peptide chain release factor 1, mitochondrial, putative	protein coding gene	Tb927.3.1070	0	N/A	2.1.1.297 (Peptide chain release factor N(5)-glutamine methyltransferase);3.1.1.29 (Aminoacyl-tRNA hydrolase)	
Tb927.3.1080	Present in the outer mitochondrial membrane proteome 23	protein coding gene	Tb927.3.1080	4	N/A	N/A	
Tb927.3.1090	U1 small nuclear ribonucleoprotein 24 kDa	protein coding gene	Tb927.3.1090	0	N/A	N/A	
Tb927.3.110	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb927.3.110	0	N/A	N/A	
Tb927.3.1100	exonuclease, putative	protein coding gene	Tb927.3.1100	0	N/A	N/A	
Tb927.3.1110	Putative intraflagellar transport protein A1	protein coding gene	Tb927.3.1110	0	N/A	N/A	
Tb927.3.1120	GTP-binding nuclear protein rtb2, putative	protein coding gene	Tb927.3.1120	0	N/A	3.1.4.12 (Sphingomyelin phosphodiesterase);3.6.1.15 (Nucleoside-triphosphate phosphatase)	
Tb927.3.1130	DNA polymerase delta subunit 2, putative	protein coding gene	Tb927.3.1130	0	2.7.7.7 (DNA-directed DNA polymerase)	2.7.7.7 (DNA-directed DNA polymerase)	
Tb927.3.1140	Surp module, putative	protein coding gene	Tb927.3.1140	0	N/A	N/A	
Tb927.3.1150	Conserved hypothetical ATP binding protein, putative	protein coding gene	Tb927.3.1150	0	N/A	N/A	
Tb927.3.1160	hypothetical protein, conserved	protein coding gene	Tb927.3.1160	0	N/A	N/A	
Tb927.3.1170	TAP42-like family, putative	protein coding gene	Tb927.3.1170	0	N/A	N/A	
Tb927.3.1180	hypothetical protein, conserved	protein coding gene	Tb927.3.1180	0	N/A	N/A	
Tb927.3.1190	hypothetical protein, conserved	protein coding gene	Tb927.3.1190	0	N/A	N/A	
Tb927.3.120	variant surface glycoprotein (VSG), putative	protein coding gene	Tb927.3.120	0	N/A	N/A	
Tb927.3.1200	hypothetical protein, conserved	protein coding gene	Tb927.3.1200	0	N/A	N/A	
Tb927.3.1210	protein transport protein Sec24	protein coding gene	Tb927.3.1210	0	N/A	2.4.1.17 (Glucuronosyltransferase)	
Tb927.3.1220	GIY-YIG catalytic domain containing protein, putative	protein coding gene	Tb927.3.1220	0	3.1.-.- (Acting on ester bonds.)	3.1.-.- (Acting on ester bonds.);3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.3.1230	Dicer-like protein 2	protein coding gene	Tb927.3.1230	0	3.1.26.3 (Ribonuclease III)	3.1.26.3 (Ribonuclease III)	
Tb927.3.1240	Serine/threonine-protein phosphatase 2A, putative	protein coding gene	Tb927.3.1240	0	3.1.3.16 (Protein-serine/threonine phosphatase)	3.1.3.16 (Protein-serine/threonine phosphatase)	
Tb927.3.1250	DNA-directed RNA polymerase I subunit RPB10	protein coding gene	Tb927.3.1250	0	2.7.7.6 (DNA-directed RNA polymerase)	2.7.11.26 ([Tau protein] kinase);2.7.7.6 (DNA-directed RNA polymerase)	
Tb927.3.1260	hypothetical protein, conserved	protein coding gene	Tb927.3.1260	0	N/A	N/A	
Tb927.3.1270	PRP38 family, putative	protein coding gene	Tb927.3.1270	0	N/A	N/A	
Tb927.3.1280	NPL4 family, putative	protein coding gene	Tb927.3.1280	0	N/A	N/A	
Tb927.3.1290	cullin 4B, putative	protein coding gene	Tb927.3.1290	0	N/A	N/A	
Tb927.3.130	variant surface glycoprotein, truncated	pseudogene	Tb927.3.130	0	N/A	N/A	
Tb927.3.1300	hypothetical protein, conserved	protein coding gene	Tb927.3.1300	0	N/A	N/A	
Tb927.3.1310	hypothetical protein, conserved	protein coding gene	Tb927.3.1310	0	N/A	N/A	
Tb927.3.1320	hypothetical protein, conserved	protein coding gene	Tb927.3.1320	0	N/A	N/A	
Tb927.3.1330	hypothetical protein, conserved	protein coding gene	Tb927.3.1330	0	N/A	N/A	
Tb927.3.1340	Nuclear cap-binding protein subunit 66	protein coding gene	Tb927.3.1340	0	N/A	N/A	
Tb927.3.1350	hypothetical protein, conserved	protein coding gene	Tb927.3.1350	0	N/A	N/A	
Tb927.3.1360	cytosine-specific DNA methylase, putative	protein coding gene	Tb927.3.1360	0	N/A	N/A	
Tb927.3.1370	40S ribosomal protein S25, putative	protein coding gene	Tb927.3.1370	0	N/A	N/A	
Tb927.3.1380	ATP synthase subunit beta, mitochondrial	protein coding gene	Tb927.3.1380	0	3.6.3.14 (Transferred entry: 7.1.2.2);7.1.2.2 (H(+)-transporting two-sector ATPase)	3.6.3.14 (Transferred entry: 7.1.2.2);3.6.3.15 (Transferred entry: 7.2.2.1);7.1.2.2 (H(+)-transporting two-sector ATPase)	
Tb927.3.1390	LMBR1-like membrane protein, putative	protein coding gene	Tb927.3.1390	9	N/A	N/A	
Tb927.3.140	variant surface glycoprotein, degenerate	pseudogene	Tb927.3.140	0	N/A	N/A	
Tb927.3.1400	alpha-tubulin N-acetyltransferase, putative	protein coding gene	Tb927.3.1400	0	2.3.1.108 (Alpha-tubulin N-acetyltransferase)	2.3.1.108 (Alpha-tubulin N-acetyltransferase)	
Tb927.3.1410	cytochrome oxidase subunit VII	protein coding gene	Tb927.3.1410	0	1.9.3.1 (Transferred entry: 7.1.1.9)	1.9.3.1 (Transferred entry: 7.1.1.9)	
Tb927.3.1420	hypothetical protein, conserved	protein coding gene	Tb927.3.1420	0	N/A	N/A	
Tb927.3.1430	chaperone protein DnaJ, putative	protein coding gene	Tb927.3.1430	0	N/A	N/A	
Tb927.3.1440	Spastin, putative	protein coding gene	Tb927.3.1440	0	N/A	3.6.1.3 (Deleted entry);3.6.4.3 (Transferred entry: 5.6.1.1);5.6.1.1 (Microtubule-severing ATPase)	
Tb927.3.1450	CorA-like Mg2+ transporter protein, putative	protein coding gene	Tb927.3.1450	2	N/A	N/A	
Tb927.3.1460	hypothetical protein	protein coding gene	Tb927.3.1460	0	N/A	N/A	
Tb927.3.1470	variant surface glycoprotein (VSG)-related, putative	protein coding gene	Tb927.3.1470	0	N/A	N/A	
Tb927.3.1480	hypothetical protein, conserved	protein coding gene	Tb927.3.1480	0	N/A	N/A	
Tb927.3.1490	leucine-rich repeat protein (LRRP), putative	protein coding gene	Tb927.3.1490	0	N/A	N/A	
Tb927.3.150	variant surface glycoprotein (VSG), putative	protein coding gene	Tb927.3.150	0	N/A	N/A	
Tb927.3.1500	variant surface glycoprotein (VSG)-related, putative	protein coding gene	Tb927.3.1500	0	N/A	N/A	
Tb927.3.1510	variant surface glycoprotein (VSG)-related, putative	protein coding gene	Tb927.3.1510	0	N/A	N/A	
